city;latitude;longitude
Madrid;404.086;-36.922
Sabadell;415.433;21.094
Badalona;414.471;22.448
San Salvador;433.926;-38.060
Valladolid;416.552;-47.237
Barcelona;413.984;21.741
Sevilla;373.824;-59.761
Valencia;394.667;-0.3667
Marbella;365.105;-48.857
Castellbisbal;414.748;19.799
Rub°;414.923;20.330
Alcocer;404.697;-26.094
Boadilla Del Monte;404.028;-38.756
Valdeorras;424.189;-69.818
Palma;395.743;26.552
Vigo;422.328;-87.226
Urdi†in;428.870;-21.368
Fuenlabrada;402.842;-37.941
Tarragona;411.167;12.500
M†laga;367.267;-44.348
San Agust°n;431.316;-25.634
Santa Cruz;426.697;-23.512
Varadero;367.252;-35.218
Mariana;401.672;-21.460
La Coru§a;280.333;-156.667
VallÇs;389.852;-0.5570
J†vea;387.878;0.1619
Las Palmas;280.997;-154.134
Bermeo;434.204;-27.242
Puertollano;386.889;-41.083
Villabalter;426.219;-56.198
Ciudad Real;389.863;-39.291
Bilbao;432.609;-29.388
GÇlida;414.404;18.610
Mijas;365.953;-46.399
Alpedrete;406.606;-40.253
Manresa;417.263;18.258
Colunga;434.851;-52.700
M¢stoles;403.209;-38.628
Cadiz;365.158;-62.797
Manuel;390.506;-0.4898
Zaragoza;416.453;-0.8849
Salamanca;409.681;-56.620
Sant Just Desvern;413.833;20.833
Compostela;418.831;-81.472
Arinaga;278.667;-153.833
Moralzarzal;406.785;-39.707
Castell¢n;399.875;-0.0392
Granada;371.784;-35.992
Pozoblanco;383.791;-48.483
Arguinegu°n;277.622;-156.818
Alcoy;387.054;-0.4743
Oviedo;433.632;-58.531
Burgos;423.502;-36.753
Le¢n;426.000;-55.703
Reus;411.559;11.074
Alicante;383.462;-0.4877
Palencia;420.096;-45.241
Peralta;423.383;-18.003
Zamudio;432.860;-28.700
Derio;433.010;-28.780
Playa;389.167;-0.0833
Forma;398.500;42.000
µvila;406.572;-46.995
Bernardos;411.279;-43.512
C¢rdoba;378.916;-47.727
Arriaga;428.668;-26.774
Las Arenas;433.282;-30.092
Alcal† De Henares;404.820;-33.600
Santander;434.647;-38.044
Vitoria;428.500;-26.667
Mondrag¢n;430.667;-24.833
Hospitalet;409.918;0.9230
Murcia;379.870;-11.300
El µguila;383.000;-50.167
Urnieta;432.466;-19.913
La Estrella;403.662;-0.2945
Amurrio;430.500;-30.000
Pamplona;428.141;-16.412
Hornos;378.866;-31.890
Elcano;428.305;-15.460
Matar¢;415.421;24.445
La Alberca;379.398;-11.416
San Juan;428.167;-16.500
San Sebastian;280.916;-171.133
Olarra;431.488;-27.892
Central;424.672;0.9912
Ronda;367.461;-51.614
Molina;380.546;-12.076
Deusto;432.706;-29.367
Granollers;416.078;22.897
Elda;384.778;-0.7916
Almer°a;368.333;-24.500
Cartuja;366.537;-60.923
Gerona;419.825;28.224
La Laguna;284.853;-163.201
Altea;385.998;-0.0502
Alcorc¢n;403.465;-38.125
Llodio;431.432;-29.620
LÇrida;416.167;0.6222
La Rinconada;374.873;-59.826
Llanera;434.333;-58.833
Lled¢;409.551;0.2777
Los Olmos;400.667;-0.9167
Redes;434.244;-82.043
Mediana;414.667;-0.7058
Real;388.333;0.1333
Carme;415.320;16.207
Aguaviva;408.221;-0.1953
San Fernando;364.759;-61.982
Roca;431.815;-78.051
Cubillo;411.214;-39.088
Mollerusa;416.297;0.8948
