Ororbia;µbalos;60
Guimar†n;µgreda;120
Nules;µguilas;120
Agost;µibar;120
Vic†lvaro;µibar;120
Ferreira;µrchez;120
Guimar†n;µvila;120
La Coru§a;µvila;120
Montijo;µvila;120
Nules;µvila;120
Nules;µvila;120
Nules;µvila;120
Trasariz;µvila;120
Nules;êcija;120
Beniparrell;êibar;60
Guimar†n;ênova;120
Agost;êpila;120
Valga;êzaro;120
Guimar†n;A Coru§a;120
Guimar†n;A Coru§a;120
Montijo;A Coru§a;120
Montijo;A Coru§a;120
Montijo;A Coru§a;120
Palam¢s;A Coru§a;60
Trasariz;A Coru§a;120
Trasariz;A Coru§a;120
Trasariz;A Coru§a;120
Trasariz;A Coru§a;120
Agost;A°nsa;120
Pe§°scola;A°nsa;60
Montijo;AÇs;120
Los Anguijes;A§Çzcar;120
Guimar†n;A§ora;120
Los Anguijes;A§ora;120
Agost;A§orbe;120
Ferreira;A§orbe;120
Nules;A§over De Tajo;120
Valga;A§over De Tajo;120
Agost;Ab†rzuza;120
Ferreira;Ab†rzuza;120
Trasariz;Abad°a;120
Ferreira;Abad°n;120
Nules;Abad°n;120
Guimar†n;Abades;120
La Laguna;Abadiano;60
Guimar†n;Abajo;120
Trasariz;Abanilla;120
Ororbia;Abanto;60
Nules;Abar†n;120
Los Anguijes;Abarca;120
Teverga;Abdet;120
Nules;Abegondo;120
Vic†lvaro;Abegondo;120
La Garganta;Abejar;120
Los Anguijes;Abejera;120
Pe§°scola;Abelenda;60
Montijo;Abell†;120
Vic†lvaro;Abella De La Conca;120
La Garganta;Aben¢jar;120
Guimar†n;Abenfigo;120
Montijo;Aberin;120
Ferreira;Abiego;120
Guimar†n;Abiego;120
Ferreira;Abla;120
Trasariz;Abla;120
Guimar†n;Ablitas;120
Montijo;Abrera;120
Los Anguijes;Abriojal;120
Vic†lvaro;Abrucena;60
Ferreira;Acebes Del P†ramo;120
Nules;Acebes Del P†ramo;120
Trasariz;Acebo;120
Valga;Acebo;120
Ororbia;Aceboso;60
Miraflores De La Sierra;Acebro;120
Montijo;Acedera;120
Ferreira;Acehuche;120
Agost;Aceituna;120
Los Anguijes;Aceituna;120
Los Anguijes;Acequias;120
Ferreira;Acera De La Vega;120
Agost;Aceuchal;120
Los Anguijes;Adahuesca;120
Nules;Adamuz;120
Teverga;Adamuz;120
La Garganta;Adana;120
Guimar†n;Adanero;120
Guimar†n;Adeje;120
Montijo;Adeje;120
Montijo;Adeje;120
Trasariz;Adeje;120
Trasariz;Ademuz;120
Vic†lvaro;Ademuz;120
Ferreira;Ador;120
Nules;Ador;120
Agost;Adrall;120
Valga;Adrall;120
Valga;Adri;120
Guimar†n;Adsubia;120
Ororbia;Adsubia;60
Beniparrell;Aduanas;60
Guimar†n;AgÅÇs;120
Montijo;AgÅÇs;120
Guimar†n;AgÅimes;120
Montijo;Agaete;120
Teverga;Agaete;120
Nules;Ager;120
Guimar†n;Agoncillo;120
Pe§°scola;Agoncillo;60
Nules;Agost;120
Ferreira;AgrÇs;120
Guimar†n;AgrÇs;120
Guimar†n;Agram¢n;120
Ororbia;Agramunt;60
Trasariz;Agramunt;120
Los Anguijes;Agua Amarga;120
Ferreira;Agualada;120
Nules;Aguar¢n;120
Guimar†n;Aguaviva;120
La Laguna;Aguaviva;120
Montijo;Aguda;120
Guimar†n;Agudo;120
Montijo;Agudo;120
Yecla;Aguil¢;60
Agost;Aguilafuente;120
Vic†lvaro;Aguilafuente;120
Nules;Aguilar De Camp¢o;120
Vic†lvaro;Aguilar De Camp¢o;120
Montijo;Aguilar De CodÇs;120
Agost;Aguilar De La Frontera;120
Los Anguijes;Aguilar Del R°o Alhama;120
Montijo;Aguilarejo;120
La Garganta;Aguinaga;120
Montijo;Aguino;120
Nules;Agullana;120
Nules;Agullent;120
Yecla;Agullent;120
Ororbia;Agust°n;60
Los Anguijes;Agustinos;120
Guimar†n;Ahigal;120
Los Anguijes;Ahillones;120
Trasariz;Ahillones;120
Agost;Aiguafreda;120
Ferreira;Aiguamurcia;120
Guimar†n;Aiguaviva;120
Montijo;Ailanes;120
Agost;Ainz¢n;120
Valga;Ainz¢n;120
Trasariz;Aitona;120
Vic†lvaro;Aitona;120
Montijo;Aiz†roz;120
Agost;Aizarnaz†bal;120
Vic†lvaro;Aizarnaz†bal;120
Yecla;Aizo†in;120
Agost;Ajalvir;120
Ororbia;Ajalvir;60
Guimar†n;Ajo;120
Teverga;Ajo;120
Agost;Ajofr°n;120
Agost;Al†jar;120
Los Anguijes;Al†jar;120
Los Anguijes;Al°a;120
Montijo;Al°jar;120
Trasariz;Al°ns;120
Vic†lvaro;Al¢s;120
Los Anguijes;Al¢s De Balaguer;120
Los Anguijes;Alac¢n;120
Nules;Alacu†s;120
Ferreira;Alaejos;120
Guimar†n;Alaejos;120
Montijo;Alag¢n;120
Nules;Alag¢n;120
Vic†lvaro;Alajer¢;120
Agost;Alalpardo;120
Vic†lvaro;Alalpardo;120
Agost;Alameda;120
Ferreira;Alameda;120
Nules;Alameda;120
Vic†lvaro;Alameda;120
Agost;Alameda De La Sagra;120
Ferreira;Alameda De Osuna;120
Agost;Alameda Del Valle;120
Guimar†n;Alamedilla;120
Ferreira;Alamillo;120
Nules;Alamo;120
Valga;Alan°s;120
Agost;Alange;120
Valga;Alange;120
Los Anguijes;Alar Del Rey;120
Nules;Alar Del Rey;120
Nules;Alar¢;120
Teverga;Alaraz;120
Agost;Alarc¢n;120
Montijo;Alarilla;120
Agost;Alatoz;120
Ororbia;Alb†nchez;60
Nules;Alb°;120
Los Anguijes;AlbÇniz;120
Nules;Alb¢ns;120
Pe§°scola;Alb¢ns;60
Puerto;Alba;60
Guimar†n;Alba De Tormes;120
Ororbia;Alba De Tormes;60
Alcalal°;Alba§†;120
Montijo;Albacete;120
Montijo;Albacete;120
Montijo;Albacete;120
Montijo;Albacete;120
Montijo;Albacete;120
Montijo;Albacete;120
Palam¢s;Albacete;60
Trasariz;Albacete;120
Trasariz;Albacete;120
Trasariz;Albacete;120
Trasariz;Albacete;120
Trasariz;Albaida;120
Guimar†n;Albaida Del Aljarafe;120
Teverga;Albaida Del Aljarafe;120
Montijo;Albaladejo;120
Ferreira;Albalat;120
Guimar†n;Albalat;120
Nules;Albalat De La Ribera;120
Teverga;Albalat De La Ribera;120
Valga;Albalate;120
Agost;Albalate De Cinca;120
Teverga;Albalate De Cinca;120
Los Anguijes;Albalate De Las Nogueras;120
Guimar†n;Albalate De Zorita;120
Agost;Albalate Del Arzobispo;120
Vic†lvaro;Albalate Del Arzobispo;120
Ferreira;Albandi;120
Ororbia;Albarca;120
Trasariz;Albarellos;120
Montijo;Albares;120
Los Anguijes;Albares De La Ribera;120
Trasariz;Albarreal De Tajo;120
Montijo;Albatana;120
Ferreira;Albelda;120
Trasariz;Albelda;120
Agost;Albelda De Iregua;120
Los Anguijes;Albend°n;120
Ororbia;Alberca;60
Alcalal°;Alberguer°a;120
Vic†lvaro;Alberique;120
Agost;Alberite;120
Agost;Alberite De San Juan;120
Vic†lvaro;Albero Bajo;120
Guimar†n;Albesa;120
Ferreira;Albi§ana;120
Nules;Albiol;120
Valga;Albiol;120
Montijo;Albir;120
Montijo;Albiztur;120
Trasariz;Albiztur;120
Los Anguijes;Albolod£y;120
Montijo;Albolote;120
Agost;Albond¢n;120
Los Anguijes;Albond¢n;120
Agost;Alborache;120
Agost;Alborea;120
Ferreira;Alborea;120
Nules;Albox;120
Ferreira;Albu§†n;120
Agost;Albu§ol;120
Pe§°scola;Albu§ol;60
Guimar†n;Albu§uelas;120
Miraflores De La Sierra;Albu§uelas;60
Ferreira;Albudeite;120
Agost;Albuixech;120
Vic†lvaro;Albuj¢n;120
Agost;Alburquerque;120
Valga;Alburquerque;120
Guimar†n;Alc†ntara;120
Pedreguer;Alc†ntara;120
Ferreira;Alc†zar;120
Montijo;Alc†zar;120
Los Anguijes;Alc†zares;120
Ferreira;Alca§ices;120
Nules;Alca§iz;120
Trasariz;Alca§izo;120
Los Anguijes;Alcadozo;120
Ferreira;Alcal†;120
Ferreira;Alcal†;120
Nules;Alcal†;120
Ferreira;Alcal† De Chivert;120
Montijo;Alcal† De Ebro;120
Trasariz;Alcal† De Ebro;120
Montijo;Alcal† De Guadaira;120
C¢rdoba;Alcal† De Henares;120
Montijo;Alcal† De Henares;120
Montijo;Alcal† De Henares;120
Los Anguijes;Alcal† De La Jovada;120
Trasariz;Alcal† De La Jovada;120
Trasariz;Alcal† De La Selva;120
Nules;Alcal† De Los Gazules;120
Agost;Alcal† Del J£car;120
Valga;Alcal† Del J£car;120
Nules;Alcal† Del Valle;120
Teverga;Alcal† Del Valle;120
Trasariz;Alcal† La Real;120
Trasariz;Alcal† La Real;120
Trasariz;Alcala;120
Miraflores De La Sierra;Alcalal°;120
